Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Litecoin,LTC,24/01/2018,Quarta-feira,186.2790069580078,173.718994140625,178.4250030517578,179.98699951171875,375948992.0,9882205701.16
Litecoin,LTC,25/01/2018,Quinta-feira,185.42300415039065,176.3489990234375,181.56300354003903,180.27200317382807,363137984.0,9900458587.38
Litecoin,LTC,26/01/2018,Sexta-feira,182.8919982910156,167.08399963378906,179.81900024414062,176.73399353027344,375476992.0,9709025118.14
Litecoin,LTC,27/01/2018,Sábado,183.1540069580078,174.87899780273438,176.66099548339844,180.8860015869141,291632992.0,9940021813.89
Litecoin,LTC,28/01/2018,Domingo,194.6790008544922,181.42100524902344,181.42100524902344,193.8650054931641,363515008.0,10656038483.5
Litecoin,LTC,29/01/2018,Segunda-feira,194.3860015869141,179.23199462890625,193.75100708007807,181.66400146484372,303560992.0,9988197029.93
Litecoin,LTC,30/01/2018,Terça-feira,181.51800537109372,163.03399658203125,181.44500732421875,165.2760009765625,433227008.0,9089747498.02
Litecoin,LTC,31/01/2018,Quarta-feira,167.0679931640625,157.64500427246094,165.29600524902344,163.3509979248047,363292992.0,8986099109.05
Litecoin,LTC,01/02/2018,Quinta-feira,165.81399536132812,131.54800415039062,163.6820068359375,142.2969970703125,539880000.0,7830131932.64
Litecoin,LTC,02/02/2018,Sexta-feira,142.56199645996094,105.34600067138672,142.56199645996094,131.37899780273438,815539968.0,7231180058.55
Litecoin,LTC,03/02/2018,Sábado,165.55499267578125,121.16600036621094,131.4010009765625,160.25,687676032.0,8822761362.79
Litecoin,LTC,04/02/2018,Domingo,173.79600524902344,139.69400024414062,160.38099670410156,148.02499389648438,1006080000.0,8151908185.62
Litecoin,LTC,05/02/2018,Segunda-feira,153.5240020751953,118.14700317382812,148.7270050048828,125.33000183105467,844678016.0,6903938801.58
Litecoin,LTC,06/02/2018,Terça-feira,146.11399841308594,106.94400024414062,127.52100372314452,142.99099731445312,1148409984.0,7879137719.9
Litecoin,LTC,07/02/2018,Quarta-feira,157.8979949951172,131.5240020751953,142.48199462890625,138.2030029296875,817808000.0,7617284051.66
Litecoin,LTC,08/02/2018,Quinta-feira,151.08099365234375,138.33599853515625,138.33599853515625,149.46600341796875,869206976.0,8240405570.42
Litecoin,LTC,09/02/2018,Sexta-feira,163.97999572753906,142.58599853515625,149.72999572753906,163.9499969482422,722204992.0,9041364282.96
Litecoin,LTC,10/02/2018,Sábado,169.32899475097656,149.1439971923828,163.48800659179688,155.59300231933594,576328000.0,8582616173.85
Litecoin,LTC,11/02/2018,Domingo,155.7310028076172,142.61099243164062,155.39199829101562,148.99000549316406,495720000.0,8220569161.74
Litecoin,LTC,12/02/2018,Segunda-feira,163.34800720214844,150.10400390625,150.10400390625,161.5659942626953,535710016.0,8916808661.52
Litecoin,LTC,13/02/2018,Terça-feira,162.37399291992188,153.51100158691406,161.77499389648438,159.5540008544922,483468000.0,8808187848.57
Litecoin,LTC,14/02/2018,Quarta-feira,218.2310028076172,159.57899475097656,159.57899475097656,213.35899353027344,2383340032.0,11781584374.0
Litecoin,LTC,15/02/2018,Quinta-feira,237.8769989013672,211.1739959716797,212.3470001220703,225.42599487304688,2087289984.0,12451226607.1
Litecoin,LTC,16/02/2018,Sexta-feira,236.08799743652344,212.32899475097656,225.5,230.12399291992188,1300089984.0,12714036455.7
Litecoin,LTC,17/02/2018,Sábado,233.4510040283203,225.60299682617188,229.5019989013672,229.46499633789065,863401024.0,12681138421.0
Litecoin,LTC,18/02/2018,Domingo,232.6439971923828,214.4579925537109,230.50900268554688,215.73599243164065,1011120000.0,11925650529.3
Litecoin,LTC,19/02/2018,Segunda-feira,226.9669952392578,215.3769989013672,215.4149932861328,223.0570068359375,767596992.0,12333459061.1
Litecoin,LTC,20/02/2018,Terça-feira,253.8979949951172,222.5070037841797,223.0870056152344,232.8509979248047,1739670016.0,12878414402.2
Litecoin,LTC,21/02/2018,Quarta-feira,235.41000366210935,208.9250030517578,230.947998046875,213.3520050048828,1195820032.0,11803114421.5
Litecoin,LTC,22/02/2018,Quinta-feira,222.76800537109372,191.80999755859372,212.84100341796875,195.30799865722656,974379008.0,10807770153.8
Litecoin,LTC,23/02/2018,Sexta-feira,216.1320037841797,184.07000732421875,194.1929931640625,209.3090057373047,1065680000.0,11585694405.4
Litecoin,LTC,24/02/2018,Sábado,220.3070068359375,197.88400268554688,210.63699340820312,209.4219970703125,937312000.0,11594912514.9
Litecoin,LTC,25/02/2018,Domingo,225.5489959716797,202.3650054931641,208.1320037841797,220.4750061035156,1028590016.0,12209956904.4
Litecoin,LTC,26/02/2018,Segunda-feira,234.41700744628903,218.73599243164065,222.13800048828125,220.9620056152344,1297080064.0,12240119978.9
Litecoin,LTC,27/02/2018,Terça-feira,224.20899963378903,215.84100341796875,221.7100067138672,216.5989990234375,856454016.0,12001557416.9
Litecoin,LTC,28/02/2018,Quarta-feira,223.50999450683597,202.70599365234372,217.2790069580078,202.8950042724609,761321984.0,11245167903.9
Litecoin,LTC,01/03/2018,Quinta-feira,214.697998046875,201.54200744628903,203.11900329589844,209.75,678542016.0,11628116966.4
Litecoin,LTC,02/03/2018,Sexta-feira,213.1289978027344,204.8800048828125,209.55499267578125,212.55599975585935,627142016.0,11786864287.1
Litecoin,LTC,03/03/2018,Sábado,217.76300048828125,209.53700256347656,213.83799743652344,210.64300537109372,681865984.0,11683955340.9
Litecoin,LTC,04/03/2018,Domingo,214.1199951171875,205.36399841308597,210.23599243164065,213.7989959716797,574675008.0,11862048435.8
Litecoin,LTC,05/03/2018,Segunda-feira,215.97799682617188,209.24899291992188,213.7400054931641,211.1750030517578,594828992.0,11719782020.5
